#ID,NAME,LIVELOC,JOB,WORKLOC,STATE
351, Rir, 351, 2, 22, 0
352, Quosh, 352, 2, 23, 0
353, Ting, 353, 2, 20, 0
354, Nijoa, 354, 4, 25, 0
355, Duigar, 355, 1, 0, 0
356, Quish, 356, 2, 23, 0
357, Cepaid, 357, 1, 0, 0
358, Meat, 358, 4, 28, 0
359, Noupang, 359, 2, 19, 0
360, Sumighk, 360, 1, 0, 0
361, Ropoib, 361, 1, 0, 0
362, Kor, 362, 1, 0, 0
363, Ceeth, 363, 2, 16, 0
364, Mighsh, 364, 3, 19, 0
365, Beequow, 365, 4, 27, 0
366, Joie, 366, 2, 18, 0
367, Jouquor, 367, 3, 7, 0
368, Whoich, 368, 2, 22, 0
369, Kouteng, 369, 1, 0, 0
370, Gaw, 370, 4, 29, 0
371, Doi, 371, 4, 25, 0
372, Wheweeck, 372, 1, 0, 0
373, Chauweeth, 373, 1, 0, 0
374, Chaijor, 374, 2, 18, 0
375, Tuch, 375, 3, 27, 0
376, Lu, 376, 1, 0, 0
377, Quo, 377, 1, 0, 0
378, Kaihead, 378, 1, 0, 0
379, Hoie, 379, 2, 20, 0
380, Feechighk, 380, 1, 0, 0
381, Giwhouch, 381, 4, 26, 0
382, Gur, 382, 2, 19, 0
383, Gud, 383, 2, 19, 0
384, Goche, 384, 1, 0, 0
385, Joish, 385, 2, 18, 0
386, Pi, 386, 1, 0, 0
387, Cheeth, 387, 2, 24, 0
388, Chaib, 388, 2, 24, 0
389, Jaiboach, 389, 1, 0, 0
390, Rew, 390, 2, 21, 0
391, Cighquong, 391, 1, 0, 0
392, Pong, 392, 2, 16, 0
393, Geafeng, 393, 4, 27, 0
394, Pobew, 394, 1, 0, 0
395, Ceanau, 395, 1, 0, 0
396, Noufi, 396, 2, 24, 0
397, Boo, 397, 1, 0, 0
398, Leeroush, 398, 1, 0, 0
399, Queet, 399, 2, 23, 0
400, Nootur, 400, 2, 19, 0
401, Hocok, 401, 1, 0, 0
402, Yoath, 402, 4, 28, 0
403, Toock, 403, 3, 21, 0
404, Kang, 404, 2, 21, 0
405, Lauwai, 405, 1, 0, 0
406, Bai, 406, 3, 2, 0
407, Faudew, 407, 1, 0, 0
408, Dolich, 408, 1, 0, 0
409, Reech, 409, 3, 13, 0
410, Fir, 410, 2, 18, 0
411, Bay, 411, 2, 19, 0
412, Cee, 412, 4, 25, 0
413, Cheeb, 413, 2, 24, 0
414, Wai, 414, 4, 25, 0
415, Nuish, 415, 4, 29, 0
416, Laish, 416, 2, 17, 0
417, Poochor, 417, 1, 0, 0
418, Cong, 418, 2, 16, 0
419, Mor, 419, 2, 15, 0
420, Kuipaib, 420, 4, 26, 0
421, Kui, 421, 1, 0, 0
422, Kuish, 422, 4, 29, 0
423, Taife, 423, 1, 0, 0
424, Dur, 424, 1, 0, 0
425, Koud, 425, 2, 21, 0
426, Weecher, 426, 4, 26, 0
427, Mealeae, 427, 1, 0, 0
428, Wuie, 428, 4, 28, 0
429, Joot, 429, 2, 18, 0
430, Cet, 430, 2, 16, 0
431, Meelor, 431, 1, 0, 0
432, Yeng, 432, 2, 21, 0
433, Led, 433, 2, 17, 0
434, Koaleesh, 434, 4, 26, 0
435, Coat, 435, 2, 16, 0
436, Raiming, 436, 1, 0, 0
437, Yaich, 437, 2, 21, 0
438, Toith, 438, 3, 14, 0
439, Quo, 439, 1, 0, 0
440, Yigeach, 440, 1, 0, 0
441, Luik, 441, 2, 17, 0
442, Sigh, 442, 1, 0, 0
443, Wuik, 443, 4, 29, 0
444, Roomout, 444, 1, 0, 0
445, Ced, 445, 2, 16, 0
446, Beawhar, 446, 4, 26, 0
447, Dea, 447, 1, 0, 0
448, Whong, 448, 1, 0, 0
449, Quaimit, 449, 1, 0, 0
450, Roy, 450, 2, 22, 0
451, Paunir, 451, 3, 6, 0
452, Tiney, 452, 1, 0, 0
453, Hiwhi, 453, 1, 0, 0
454, Chouck, 454, 4, 29, 0
455, Low, 455, 2, 17, 0
456, Kighnok, 456, 1, 0, 0
457, Fighsash, 457, 2, 17, 0
458, Sauchay, 458, 1, 0, 0
459, Chang, 459, 2, 24, 0
460, Fouwhoy, 460, 1, 0, 0
461, Wheed, 461, 2, 24, 0
462, Saw, 462, 4, 27, 0
463, Wemoish, 463, 1, 0, 0
464, Fighta, 464, 1, 0, 0
465, Goue, 465, 4, 29, 0
466, Whucaish, 466, 1, 0, 0
467, Chay, 467, 2, 24, 0
468, Mau, 468, 1, 0, 0
469, Fit, 469, 4, 29, 0
470, Med, 470, 2, 15, 0
471, Katoash, 471, 2, 17, 0
472, Beahoa, 472, 4, 25, 0
473, Jaweab, 473, 2, 17, 0
474, Ruibich, 474, 2, 17, 0
475, Dir, 475, 2, 19, 0
476, Buibeeck, 476, 1, 0, 0
477, Nacoash, 477, 4, 26, 0
478, Peach, 478, 2, 16, 0
479, Chat, 479, 2, 24, 0
480, Hang, 480, 3, 28, 0
481, Teakaw, 481, 1, 0, 0
482, Gegay, 482, 1, 0, 0
483, Poo, 483, 1, 0, 0
484, Daw, 484, 2, 20, 0
485, Rafub, 485, 1, 0, 0
486, Sur, 486, 2, 17, 0
487, Jighwu, 487, 1, 0, 0
488, Ceng, 488, 4, 27, 0
489, Haquir, 489, 1, 0, 0
490, Keemighd, 490, 1, 0, 0
491, Quaw, 491, 2, 23, 0
492, Meenir, 492, 4, 26, 0
493, Raich, 493, 2, 22, 0
494, Foe, 494, 4, 28, 0
495, Soutoit, 495, 2, 17, 0
496, Nighfaie, 496, 2, 24, 0
497, Seeck, 497, 4, 28, 0
498, Fuiquighch, 498, 2, 17, 0
499, Jooch, 499, 4, 29, 0
500, Rout, 500, 2, 24, 0
501, Yuch, 501, 4, 28, 0
502, Go, 502, 2, 15, 0
503, Whu, 503, 4, 29, 0
504, Goak, 504, 3, 25, 0
505, Quighk, 505, 2, 23, 0
506, Feamung, 506, 1, 0, 0
507, Cong, 507, 3, 11, 0
508, Quaibar, 508, 1, 0, 0
509, Foi, 509, 4, 25, 0
510, Tiyo, 510, 1, 0, 0
511, Cheak, 511, 3, 14, 0
512, Hach, 512, 2, 20, 0
513, Pi, 513, 3, 19, 0
514, Jing, 514, 2, 20, 0
515, Peeth, 515, 2, 16, 0
516, Taipoab, 516, 1, 0, 0
517, Kehe, 517, 1, 0, 0
518, Chang, 518, 1, 0, 0
519, Soiki, 519, 4, 29, 0
520, Quea, 520, 1, 0, 0
521, Seech, 521, 2, 17, 0
522, Deck, 522, 2, 15, 0
523, Chik, 523, 2, 24, 0
524, Yoo, 524, 2, 15, 0
525, Hush, 525, 2, 20, 0
526, Leeth, 526, 3, 16, 0
527, Tauch, 527, 2, 20, 0
528, Moot, 528, 2, 15, 0
529, Pea, 529, 4, 25, 0
530, Choogau, 530, 1, 0, 0
531, Wheack, 531, 2, 24, 0
532, Raith, 532, 2, 22, 0
533, Sib, 533, 2, 17, 0
534, Naw, 534, 2, 21, 0
535, Bir, 535, 1, 0, 0
536, Song, 536, 1, 0, 0
537, Chighgaw, 537, 1, 0, 0
538, Kuifeesh, 538, 3, 4, 0
539, Sing, 539, 2, 17, 0
540, Souk, 540, 2, 17, 0
541, Gay, 541, 2, 19, 0
542, Yir, 542, 2, 21, 0
543, Rait, 543, 4, 29, 0
544, Tey, 544, 2, 19, 0
545, Resh, 545, 2, 22, 0
546, Wouhid, 546, 1, 0, 0
547, Saibong, 547, 1, 0, 0
548, Raiyew, 548, 2, 19, 0
549, Gar, 549, 2, 19, 0
550, Ser, 550, 3, 12, 0
551, Bou, 551, 1, 0, 0
552, Geed, 552, 3, 29, 0
553, Beekeek, 553, 1, 0, 0
554, Gooboue, 554, 1, 0, 0
555, Ce, 555, 1, 0, 0
556, Guyid, 556, 4, 26, 0
557, Wang, 557, 4, 27, 0
558, Seedoock, 558, 1, 0, 0
559, Tufer, 559, 1, 0, 0
560, Wealeash, 560, 1, 0, 0
561, Whead, 561, 2, 24, 0
562, Dee, 562, 4, 25, 0
563, Reech, 563, 2, 22, 0
564, Boler, 564, 1, 0, 0
565, Fur, 565, 1, 0, 0
566, Queetoub, 566, 2, 17, 0
567, Deack, 567, 2, 15, 0
568, Bar, 568, 2, 19, 0
569, Neack, 569, 2, 23, 0
570, Luiceesh, 570, 4, 26, 0
571, Bor, 571, 4, 29, 0
572, Chu, 572, 1, 0, 0
573, Jeedee, 573, 1, 0, 0
574, Mooching, 574, 1, 0, 0
575, Toad, 575, 2, 20, 0
576, Med, 576, 2, 15, 0
577, Doy, 577, 2, 15, 0
578, Pee, 578, 2, 16, 0
579, Whack, 579, 2, 24, 0
580, Woiyang, 580, 1, 0, 0
581, Rar, 581, 3, 24, 0
582, Ching, 582, 1, 0, 0
583, Dow, 583, 1, 0, 0
584, Meawoik, 584, 2, 17, 0
585, Deawigh, 585, 1, 0, 0
586, Faid, 586, 2, 23, 0
587, Saw, 587, 1, 0, 0
588, Deet, 588, 4, 29, 0
589, Wuitighb, 589, 1, 0, 0
590, Lui, 590, 1, 0, 0
591, Lash, 591, 4, 29, 0
592, Lighb, 592, 2, 22, 0
593, Fequub, 593, 2, 17, 0
594, Kung, 594, 2, 21, 0
595, Laish, 595, 2, 17, 0
596, Cighweee, 596, 1, 0, 0
597, Deakoe, 597, 2, 17, 0
598, Fuith, 598, 2, 23, 0
599, Noigur, 599, 2, 18, 0
600, Kait, 1000, 3, 26, 0
601, Leesh, 1001, 2, 17, 0
602, Liduick, 1002, 1, 0, 0
603, Goasuk, 1003, 1, 0, 0
604, Jik, 1004, 2, 18, 0
605, Heee, 1005, 2, 20, 0
606, Muwheach, 1006, 1, 0, 0
607, Noi, 1007, 2, 16, 0
608, Quuiquer, 1008, 1, 0, 0
609, Suiyesh, 1009, 1, 0, 0
610, Yar, 1010, 2, 21, 0
611, Teesh, 1011, 2, 20, 0
612, Ded, 1012, 2, 15, 0
613, Bouwhee, 1013, 1, 0, 0
614, Whur, 1014, 2, 24, 0
615, Feek, 1015, 4, 28, 0
616, Hong, 1016, 2, 20, 0
617, Jew, 1017, 2, 18, 0
618, Noonoik, 1018, 1, 0, 0
619, Rar, 1019, 2, 22, 0
620, Lui, 1020, 3, 25, 0
621, Reee, 1021, 2, 22, 0
622, Rew, 1022, 2, 19, 0
623, Sey, 1023, 2, 17, 0
624, Highe, 1024, 2, 20, 0
625, Gead, 1025, 2, 19, 0
626, Whouth, 1026, 2, 24, 0
627, Reng, 1027, 3, 18, 0
628, Nout, 1028, 2, 23, 0
629, Cheeth, 1029, 2, 24, 0
630, Whayee, 1030, 1, 0, 0
631, Keeno, 1031, 4, 25, 0
632, Hudeed, 1032, 2, 17, 0
633, Toibai, 1033, 1, 0, 0
634, Tiwoot, 1034, 2, 24, 0
635, Hochee, 1035, 1, 0, 0
636, Rib, 1036, 4, 29, 0
637, Pigh, 1037, 4, 25, 0
638, Kighchung, 1038, 2, 18, 0
639, Reening, 1039, 1, 0, 0
640, Kougong, 1040, 1, 0, 0
641, Nourob, 1041, 1, 0, 0
642, Rai, 1042, 4, 25, 0
643, Weequush, 1043, 1, 0, 0
644, Keekesh, 1044, 1, 0, 0
645, Gaw, 1045, 2, 19, 0
646, Tifew, 1046, 4, 27, 0
647, Biyang, 1047, 1, 0, 0
648, Moawhow, 1048, 1, 0, 0
649, Baw, 1049, 2, 19, 0
650, Hui, 1050, 4, 25, 0
651, Wuie, 1051, 4, 29, 0
652, Pung, 1052, 2, 16, 0
653, Leng, 1053, 2, 24, 0
654, Do, 1054, 4, 25, 0
655, Koipaib, 1055, 1, 0, 0
656, Bobing, 1056, 1, 0, 0
657, Dausong, 1057, 1, 0, 0
658, Leetighch, 1058, 1, 0, 0
659, Hoat, 1059, 2, 20, 0
660, Queesur, 1060, 1, 0, 0
661, Goo, 1061, 1, 0, 0
662, Touk, 1062, 2, 20, 0
663, Ley, 1063, 1, 0, 0
664, Naick, 1064, 2, 23, 0
665, Goacick, 1065, 1, 0, 0
666, Poy, 1066, 2, 20, 0
667, Foawur, 1067, 1, 0, 0
668, Cick, 1068, 2, 16, 0
669, Poy, 1069, 2, 19, 0
670, Bong, 1070, 4, 27, 0
671, Noiteak, 1071, 1, 0, 0
672, Buiya, 1072, 2, 15, 0
673, Cheech, 1073, 2, 24, 0
674, Cighchui, 1074, 1, 0, 0
675, Whopoy, 1075, 1, 0, 0
676, Boub, 1076, 4, 28, 0
677, Whed, 1077, 2, 24, 0
678, Gey, 1078, 2, 20, 0
679, Pou, 1079, 1, 0, 0
680, Chash, 1080, 2, 24, 0
681, Rew, 1081, 2, 22, 0
682, Dighmey, 1082, 1, 0, 0
683, Wighe, 1083, 3, 13, 0
684, Boyor, 1084, 1, 0, 0
685, Fou, 1085, 1, 0, 0
686, Failir, 1086, 4, 26, 0
687, Nikoae, 1087, 3, 5, 0
688, Loich, 1088, 2, 17, 0
689, Beak, 1089, 3, 15, 0
690, Jou, 1090, 1, 0, 0
691, Bing, 1091, 2, 19, 0
692, Cooyir, 1092, 1, 0, 0
693, Loayighe, 1093, 1, 0, 0
694, Highneee, 1094, 4, 25, 0
695, Law, 1095, 1, 0, 0
696, Quiger, 1096, 1, 0, 0
697, Hew, 1097, 1, 0, 0
698, Nai, 1098, 1, 0, 0
699, Say, 1099, 2, 20, 0
700, Soayau, 1100, 1, 0, 0
701, Rung, 1101, 3, 21, 0
702, For, 1102, 2, 18, 0
703, Goagow, 1103, 1, 0, 0
704, Yoy, 1104, 2, 21, 0
705, Whoa, 1105, 1, 0, 0
706, Quauray, 1106, 2, 24, 0
707, Reelew, 1107, 2, 18, 0
708, Yew, 1108, 2, 21, 0
709, Deekigh, 1109, 1, 0, 0
710, Baifang, 1110, 2, 18, 0
711, Ruiyo, 1111, 2, 15, 0
712, Yur, 1112, 1, 0, 0
713, Reechang, 1113, 1, 0, 0
714, Daiyuth, 1114, 1, 0, 0
715, Datong, 1115, 4, 27, 0
716, Daured, 1116, 2, 19, 0
717, Quai, 1117, 1, 0, 0
718, Tee, 1118, 1, 0, 0
719, Quar, 1119, 2, 23, 0
720, Queequer, 1120, 3, 7, 0
721, Deedoy, 1121, 1, 0, 0
722, Jaick, 1122, 3, 15, 0
723, Meepek, 1123, 1, 0, 0
724, Moader, 1124, 4, 26, 0
725, Quaipeesh, 1125, 4, 26, 0
726, Yea, 1126, 3, 1, 0
727, Bok, 1127, 2, 19, 0
728, Jaw, 1128, 4, 27, 0
729, Tawhuick, 1129, 2, 17, 0
730, Ruimoy, 1130, 3, 7, 0
731, Ceewur, 1131, 1, 0, 0
732, Choofick, 1132, 1, 0, 0
733, Queeth, 1133, 2, 23, 0
